complaint_text,Category_of_review,Category_of_review_1
"Despite the hype, this mobile phone had its downsides. The camera, while decent, didn't always deliver the high-quality shots I expected. The battery life was inconsistent, and the phone tended to overheat during heavy usage. The security features, although present, felt cumbersome to set up and manage.",Product quality,Product quality
"The performance of this dishwasher was underwhelming. It struggled with stubborn stains and left residue on some of my dishes. The interior design was also inefficient, making it difficult to fit larger items. Additionally, the operating noise was more noticeable than I anticipated, disrupting the quiet ambiance of my kitchen.",Product quality,Product quality
"The sound quality of these headphones is decent, but the comfort level is lacking. After extended use, they started to feel uncomfortable and caused some discomfort around my ears. The noise cancellation feature wasn't as effective as I hoped, as some external sounds still managed to seep through.",Product quality,Product quality
"I had high hopes for this digital watch, but it fell short of my expectations. The interface was confusing to navigate, and the battery life didn't last as long as advertised. The heart rate monitoring feature often gave inaccurate readings, and the watch faces available were quite limited.",fake advertisement,fake advertisement
"The sound quality of these headphones is decent, but the comfort level is lacking. After extended use, they started to feel uncomfortable and caused some discomfort around my ears. The noise cancellation feature wasn't as effective as I hoped, as some external sounds still managed to seep through.",Product quality,Product quality
"I had high hopes for this digital watch, but it fell short of my expectations. The interface was confusing to navigate, and the battery life didn't last as long as advertised. The heart rate monitoring feature often gave inaccurate readings, and the watch faces available were quite limited.",Product quality,Product quality
"This robotic mop was a disappointment. It seemed to get stuck in corners and struggled to cover the entire floor area. The mopping pads also wore out quickly, and finding replacements was a hassle. The promised convenience turned into frustration as I had to constantly monitor its progress.",Product quality,Product quality
"I had high hopes for this digital watch, but it fell short of my expectations. The interface was confusing to navigate, and the battery life didn't last as long as advertised. The heart rate monitoring feature often gave inaccurate readings, and the watch faces available were quite limited.",Product quality,Product quality
"This robotic mop was a disappointment. It seemed to get stuck in corners and struggled to cover the entire floor area. The mopping pads also wore out quickly, and finding replacements was a hassle. The promised convenience turned into frustration as I had to constantly monitor its progress.",Product quality,Product quality
"I'm beyond impressed with this mobile phone's performance. The camera captures stunning photos, even in low light conditions. The processing power ensures smooth multitasking, and the battery life keeps up with my demanding usage. The sleek design and vibrant display are a visual treat. Its security features also provide peace of mind. Undoubtedly one of the best investments I've made.",Positive review,Positive review
"This dishwasher has been a game changer in my kitchen. It tackles even the toughest grime and grease, leaving dishes sparkling clean. The variety of wash cycles allows for flexibility, and the energy efficiency is a bonus. It operates quietly, preserving the tranquility of my home. With its spacious interior, it easily accommodates my large dinner parties. A must-have for any busy household.",Positive review,Positive review
"I'm in love with these headphones! The sound quality is exceptional, with rich bass and clear highs. They're incredibly comfortable to wear, even during extended listening sessions. The noise cancellation works like magic, immersing me in my music without any distractions. Wireless connectivity is seamless, and the battery life keeps me entertained for hours. A true audio delight!",Positive review,Positive review
"This digital watch is a perfect blend of style and functionality. Its sleek design complements both casual and formal outfits. The array of features, from heart rate monitoring to customizable watch faces, cater to my every need. The battery life is impressive, lasting through my busy days without a hitch. A reliable companion that keeps me punctual and informed.",Positive review,Positive review
,Positive review,Positive review
"I recently shopped at Amazon, and the experience was great. The sales team was extremely helpful, and it made my experience so much better. The product selection is also quite great at this outlet.”",Positive review,Positive review
"“I recently purchased a robotic mop from amazon. The quality of the product was excellent, and the packaging ensured that it survived the transportation. The ordering process was quite smooth, I can’t wait to shop here again.”",Positive review,Positive review
"I am writing to your company about a problem with my Hoverbike, a 0 Skylark model. I began to have trouble staying aloft a few months ago, and this week the height control module completely failed. While the bicycle is a few months out of warranty, I believe that this occurred because of a design flaw in the Skylark, and I am asking that your company cover or share with me the cost of the required repair.",Product quality,Product quality
"I ordered a beautiful dress online, but when it arrived, the color was completely different from what was shown on the website. I'm really disappointed with the inaccurate product representation",fake advertisement,fake advertisement
The stitching on this pair of jeans started unraveling after just one wash. I expected better quality for the price I paid. This is really frustrating.,Product quality,Product quality
"I bought a winter coat for my son, and the zipper broke within a week. Now, it's practically unusable in the cold weather. I'm upset about the lack of durability in this product.",Product quality,Product quality
"The t-shirt I ordered online was listed as '00% cotton,' but it feels more like a polyester blend. It's not as comfortable as I expected, and I'm not satisfied with the fabric quality.",Product quality,Product quality
"I received a jacket that had a strong chemical odor, and it hasn't gone away after multiple washes. It's uncomfortable to wear, and I'm concerned about the chemicals used in its production",Product quality,Product quality
"I couldn't be happier with my recent clothing purchase from this e-commerce website! The quality of the fabric is outstanding, and the fit is just perfect. The color hasn't faded after multiple washes, which is a big win for me. The delivery was super fast, and the packaging was eco-friendly. Overall, a fantastic shopping experience, and I'll definitely be back for more!",Positive review,Positive review
"The variety of clothing options on this website is impressive. I found exactly what I was looking for, and the prices were reasonable. The sizing guide was accurate, and the clothes fit like a dream. The customer service team was responsive and helpful when I had a query about my order. I'm delighted with my new wardrobe additions and will recommend this site to all my friends.",Positive review,Positive review
"I've been a loyal customer of this e-commerce store for years, and they never disappoint. The clothes are stylish and of high quality. What I love most is the inclusivity in their sizing range, ensuring that people of all body types can find something that fits them comfortably. The shipping is always on time, and returns are hassle-free. This is my go-to place for trendy and affordable fashion.",Positive review,Positive review
"I ordered a dress for a special occasion, and it exceeded my expectations. The fabric was luxurious, and the attention to detail in the design was impressive. It made me feel like a million bucks, and I received so many compliments. The easy returns policy gave me peace of mind, but I doubt I'll be returning this dress. This website truly delivers in terms of style and quality.",Positive review,Positive review
"I've had consistently great experiences with this e-commerce store. The clothing options are trendy, and the prices are competitive. The website is user-friendly, making it easy to navigate and find what you want. The clothes I've ordered have held up well over time, and I appreciate the eco-conscious approach to packaging. I trust this brand for my fashion needs.",Positive review,Positive review
"I was disappointed with my recent clothing purchase from this website. The item I received didn't match the description and photos online. The quality was subpar, and the stitching was coming apart after just one wash. Customer service was slow to respond, and the return process was a headache. I won't be shopping here again.",fake advertisement,fake advertisement
"The sizing chart on this website is completely inaccurate. I ordered what should have been my size, but the clothes were either too small or too large. It's frustrating that I have to deal with returns and exchanges due to their flawed sizing information. Plus, the shipping took longer than expected, and the packaging was flimsy.",fake advertisement,fake advertisement
"The prices may be low, but you get what you pay for. The clothes I ordered felt cheap and poorly made. The colors faded after a few washes, and the seams started unraveling. It's clear that quality is sacrificed for affordability here. I regret making my purchase and won't recommend this website to anyone looking for durable clothing.",Product quality,Product quality
"I had a terrible experience with this e-commerce store. The item I ordered arrived with a stain, and when I reached out to customer service, they were unresponsive. It took weeks to get a resolution, and even then, they only offered a partial refund. This lack of accountability and poor customer service has left me with a negative impression of the brand.",Product quality,Product quality
"The website is a nightmare to navigate. It's cluttered, and the search function hardly works. I wasted so much time trying to find the clothing items I wanted. When I finally placed an order, the delivery was delayed, and I received the wrong item. It's frustrating dealing with such a poorly managed e-commerce site.",Shipping,Shipping
"I was pleasantly surprised by the warranty service for my bag. When the zipper broke, I contacted customer support, and they promptly sent me a replacement bag at no extra cost. Their commitment to customer satisfaction and the hassle-free warranty process earned my loyalty.",Positive review,Positive review
"The suitcase I purchased came with a lifetime warranty, and I recently had to use it when the handle got damaged during a trip. The company replaced it without any questions asked, and I received a brand-new suitcase within a week. Their warranty policy is fantastic, and I highly recommend their products.",Positive review,Positive review
"I bought a bag with a 'limited lifetime warranty,' but when a seam started to tear after just a year of use, I was told it wasn't covered. The fine print in the warranty card was confusing, and the company's refusal to honor the warranty left me disappointed and frustrated.",Warranty card,Warranty card
"The suitcase I purchased had a -year warranty, but when the wheels started malfunctioning after only two years, the manufacturer claimed it was 'normal wear and tear' and refused to repair or replace it. The warranty turned out to be more of a marketing gimmick than a genuine guarantee of product quality.",Product quality,Product quality
"I'm absolutely thrilled with my robotic mop! It makes cleaning a breeze, and the smart sensors ensure it doesn't bump into furniture or fall down the stairs. It has saved me so much time and effort. I can't imagine going back to traditional mopping.",Positive review,Positive review
This robotic mop has been a game-changer for me. It's efficient and leaves my floors spotless. The app integration is a bonus; I can schedule cleaning sessions from my phone. It's a smart investment for anyone looking to simplify their cleaning routine.,Positive review,Positive review
"I had high hopes for my robotic mop, but it consistently got stuck under furniture and didn't clean corners well. The battery life was also disappointing, requiring frequent recharging. It feels more like a hassle than a help.",Product quality,Product quality
"My experience with the robotic mop was frustrating. It often missed spots and left streaks on my floors. The app frequently disconnected from the device, making it hard to control. I expected better performance given the price.",Product quality,Product quality
"I love my smartwatch! It tracks my fitness, keeps me connected with notifications, and the battery life is impressive. The sleek design is a bonus. It's become an essential part of my daily routine.",Positive review,Positive review
"The smartwatch's health features are incredibly accurate. It monitors my heart rate, sleep, and even offers guided breathing exercises. The customizable watch faces and straps allow for personalization. It's a fantastic addition to my lifestyle.",Positive review,Positive review
"I had high expectations for my smartwatch, but the battery life was abysmal. I had to charge it twice a day, defeating the purpose of having it. The fitness tracking was also inaccurate, often miscounting steps and heart rate.",Product quality,Product quality
"The smartwatch's software was glitchy and would frequently freeze or crash. Notifications were delayed, and the touchscreen was not responsive at times. I found the user experience frustrating, and I eventually returned it.",Product quality,Product quality
"My washing machine has been a workhorse! It handles large loads effortlessly, and the variety of wash cycles ensures that my clothes come out clean and fresh. It's energy-efficient, which is a plus for both my wallet and the environment.",Positive review,Positive review
I'm impressed with the quick wash feature on my washing machine. It's a lifesaver when I need clean clothes in a hurry. The machine's durability has also been outstanding; it's been running smoothly for years.,Positive review,Positive review
"My washing machine has had recurring issues with leaking water, and the repair process has been a nightmare. The manufacturer's customer service has been unresponsive and slow to provide solutions. I regret this purchase.""",Product quality,Product quality
"The washing machine I bought is extremely loud during the spin cycle, to the point where it's disruptive. It also tends to shake violently, even with balanced loads. It's been a disappointment, and I wish I had chosen a different model.",Product quality,Product quality
"I received my order, and I'm incredibly disappointed with the state of the bag. It arrived damaged, with visible tears and scuffs. The packaging didn't provide adequate protection, leading to this unfortunate outcome. I expected better quality control from the e-commerce website, and I hope they can resolve this issue promptly.",Shipping,Shipping
"I'm thrilled with my new bag! The quality is outstanding, and it's incredibly stylish. It exceeded my expectations, and the fast shipping was a pleasant surprise.",Positive review,Positive review
"These clothes are my new favorites! The material is soft, and they fit perfectly. Unlike some other brands, what I received matched the online photos. I'll definitely be shopping here again.",Positive review,Positive review
"My robotic mop is a godsend! It's efficient, easy to use, and it truly makes my life easier. The sensors are smart, ensuring it avoids obstacles. It's become an essential part of my cleaning routine.",Positive review,Positive review
"My smartwatch has transformed my daily routine. The health tracking features are accurate, and it syncs seamlessly with my phone. The battery life is impressive, and it's a stylish accessory to boot.",Positive review,Positive review
"I'm beyond satisfied with my washing machine. It handles large loads with ease and offers various wash cycles. It's energy-efficient, which is not only eco-friendly but also easy on my utility bills.",Positive review,Positive review
"This mobile phone is a powerhouse! The camera quality is exceptional, and the performance is smooth. It lives up to the advertised features, and the battery life is impressive. I'm a happy customer.",Positive review,Positive review
The bag I received had a noticeable defect in the stitching. It's disappointing that the product quality didn't meet my expectations. Customer service was slow to respond to my concerns.,Product quality,Product quality
"The clothes I ordered looked nothing like the photos online. The colors were off, and the fabric felt cheap. It's clear that the advertisements were misleading. I won't be buying from this store again.",fake advertisement,fake advertisement
"My robotic mop frequently gets stuck under furniture and leaves some areas untouched. The battery life is shorter than advertised, and the app connection is unreliable. It hasn't lived up to the hype.",Product quality,Product quality
"This smartwatch's battery life is abysmal. It barely lasts a day with normal use. Additionally, the promised sleep tracking is inaccurate, and the touchscreen can be unresponsive at times.",Product quality,Product quality
"My washing machine developed a strange noise within a few months of use. Despite being under warranty, the company has been slow to respond to my service request. It's frustrating to deal with a malfunctioning appliance.",Product quality,Product quality
"I was promised frequent software updates and timely security patches with this mobile phone, but it has fallen short. The camera also struggles in low-light conditions, which wasn't mentioned in the advertising.",fake advertisement,fake advertisement
"I am extremely satisfied with the quality of this mobile phone. The build is solid, and the screen is vibrant and clear. The camera takes stunning photos, and the performance is blazing fast. It's everything I expected and more, and I'm thrilled with my purchase.",Positive review,Positive review
"I feel deceived by the advertisements for this mobile phone. The ads promised exceptional battery life, but in reality, the battery barely lasts half a day with regular usage. It's frustrating to have such a significant discrepancy between the marketing claims and the actual performance.",fake advertisement,fake advertisement
"I had a terrible experience with the shipping of this mobile phone. It arrived a week later than the promised delivery date, causing major inconvenience. The tracking information was unclear, and customer service provided little help in resolving the issue. It's disappointing.",Shipping,Shipping
"The warranty card that came with my mobile phone was missing crucial information, making it impossible to register the device for warranty coverage. When I contacted customer support, they were unresponsive and unhelpful. It's concerning that I may not have proper warranty coverage for my device.",Warranty card,Warranty card
"I am deeply disappointed with the product quality of this mobile phone. The screen developed a noticeable defect within a few weeks of use, and the audio quality during calls is subpar. Despite being under warranty, the process to get it repaired has been cumbersome and time-consuming.",Product quality,Product quality
"I am delighted with the quality of the clothes I received. The fabric is soft and durable, and the stitching is impeccable. These clothes have quickly become my favorites in my wardrobe. I appreciate the attention to detail, and they truly exceeded my expectations.",Positive review,Positive review
"I'm disappointed by the misleading advertisements for these clothes. The online photos showcased vibrant colors, but what I received was dull and faded. The sizing was also inaccurate, and the fit didn't match the advertised style. It's frustrating when the product doesn't live up to the marketing.",fake advertisement,fake advertisement
